relation_id,cert_id,major_id,is_active
cmj_00474,cert_0069,major_qnet_7128,True
cmj_00475,cert_0069,major_qnet_3805,True
cmj_00476,cert_0069,major_qnet_2221,True
cmj_00477,cert_0069,major_qnet_3889,True
cmj_00478,cert_0081,major_qnet_7128,True
cmj_00479,cert_0081,major_qnet_3805,True
cmj_00480,cert_0081,major_qnet_2221,True
cmj_00481,cert_0081,major_qnet_3889,True
cmj_00482,cert_0084,major_qnet_7128,True
cmj_00483,cert_0084,major_qnet_3805,True
cmj_00484,cert_0084,major_qnet_2221,True
cmj_00485,cert_0084,major_qnet_3889,True
cmj_00486,cert_0082,major_qnet_7128,True
cmj_00487,cert_0082,major_qnet_3805,True
cmj_00488,cert_0082,major_qnet_2221,True
cmj_00489,cert_0082,major_qnet_3889,True
cmj_00490,cert_0085,major_qnet_7128,True
cmj_00491,cert_0085,major_qnet_3805,True
cmj_00492,cert_0085,major_qnet_2221,True
cmj_00493,cert_0085,major_qnet_3889,True
cmj_00494,cert_0089,major_qnet_7128,True
cmj_00495,cert_0089,major_qnet_3805,True
cmj_00496,cert_0089,major_qnet_2221,True
cmj_00497,cert_0089,major_qnet_3889,True
cmj_00498,cert_0376,major_qnet_7128,True
cmj_00499,cert_0376,major_qnet_3805,True
cmj_00500,cert_0376,major_qnet_2221,True
cmj_00501,cert_0376,major_qnet_3889,True
cmj_00502,cert_0377,major_qnet_7128,True
cmj_00503,cert_0377,major_qnet_3805,True
cmj_00504,cert_0377,major_qnet_2221,True
cmj_00505,cert_0377,major_qnet_3889,True
cmj_00506,cert_0384,major_qnet_7128,True
cmj_00507,cert_0384,major_qnet_3805,True
cmj_00508,cert_0384,major_qnet_2221,True
cmj_00509,cert_0384,major_qnet_3889,True
cmj_00510,cert_0355,major_qnet_7128,True
cmj_00511,cert_0355,major_qnet_3805,True
cmj_00512,cert_0355,major_qnet_2221,True
cmj_00513,cert_0355,major_qnet_3889,True
cmj_00514,cert_0359,major_qnet_7128,True
cmj_00515,cert_0359,major_qnet_3805,True
cmj_00516,cert_0359,major_qnet_2221,True
cmj_00517,cert_0359,major_qnet_3889,True
cmj_00518,cert_0374,major_qnet_7128,True
cmj_00519,cert_0374,major_qnet_3805,True
cmj_00520,cert_0374,major_qnet_2221,True
cmj_00521,cert_0374,major_qnet_3889,True
cmj_00522,cert_0385,major_qnet_7128,True
cmj_00523,cert_0385,major_qnet_3805,True
cmj_00524,cert_0385,major_qnet_2221,True
cmj_00525,cert_0385,major_qnet_3889,True
cmj_00526,cert_0185,major_qnet_7128,True
cmj_00527,cert_0185,major_qnet_3805,True
cmj_00528,cert_0185,major_qnet_2221,True
cmj_00529,cert_0185,major_qnet_3889,True
cmj_00530,cert_0186,major_qnet_7128,True
cmj_00531,cert_0186,major_qnet_3805,True
cmj_00532,cert_0186,major_qnet_2221,True
cmj_00533,cert_0186,major_qnet_3889,True
cmj_00534,cert_0129,major_qnet_7128,True
cmj_00535,cert_0129,major_qnet_3805,True
cmj_00536,cert_0129,major_qnet_2221,True
cmj_00537,cert_0129,major_qnet_3889,True
cmj_00538,cert_0128,major_qnet_7128,True
cmj_00539,cert_0128,major_qnet_3805,True
cmj_00540,cert_0128,major_qnet_2221,True
cmj_00541,cert_0128,major_qnet_3889,True
cmj_00542,cert_0198,major_qnet_7128,True
cmj_00543,cert_0198,major_qnet_3805,True
cmj_00544,cert_0198,major_qnet_2221,True
cmj_00545,cert_0198,major_qnet_3889,True
cmj_00546,cert_0142,major_qnet_7128,True
cmj_00547,cert_0142,major_qnet_3805,True
cmj_00548,cert_0142,major_qnet_2221,True
cmj_00549,cert_0142,major_qnet_3889,True
cmj_00550,cert_0164,major_qnet_7128,True
cmj_00551,cert_0164,major_qnet_3805,True
cmj_00552,cert_0164,major_qnet_2221,True
cmj_00553,cert_0164,major_qnet_3889,True
cmj_00554,cert_0200,major_qnet_7128,True
cmj_00555,cert_0200,major_qnet_3805,True
