cert_id,cert_name,canonical_name,normalized_key,aliases,issuer,is_active,cert_type,grade_name,primary_domain,top_domain,domain_name_raw,source,written_avg_pass_rate,practical_avg_pass_rate,avg_pass_rate_3yr
100,건설기계설비기사,건설기계설비기사,건설기계설비기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,기계장비설비.설치,qnet_major_list_2025,60.47,54.1,57.28
101,콘크리트기사,콘크리트기사,콘크리트기사,,Q-Net,True,국가기술자격,기사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,30.27,56.73,43.5
102,건설기계정비기사,건설기계정비기사,건설기계정비기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,기계장비설비.설치,qnet_major_list_2025,21.13,46.0,33.57
103,궤도장비정비기사,궤도장비정비기사,궤도장비정비기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,기계장비설비.설치,qnet_major_list_2025,9.8,64.53,37.17
104,메카트로닉스기사,메카트로닉스기사,메카트로닉스기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,기계장비설비.설치,qnet_major_list_2025,,,
105,자동차정비기사,자동차정비기사,자동차정비기사,,Q-Net,True,국가기술자격,기사,13,엔지니어링/산업기술,자동차,qnet_major_list_2025,16.8,44.13,30.47
106,정밀측정기사,정밀측정기사,정밀측정기사,,Q-Net,True,국가기술자격,기사,6,엔지니어링/산업기술,기계제작,qnet_major_list_2025,,,
107,금속재료기사,금속재료기사,금속재료기사,,Q-Net,True,국가기술자격,기사,7,엔지니어링/산업기술,금속.재료,qnet_major_list_2025,41.8,53.0,47.4
108,화공기사,화공기사,화공기사,,Q-Net,True,국가기술자격,기사,8,엔지니어링/산업기술,화공,qnet_major_list_2025,25.83,18.9,22.37
109,신재생에너지발전설비기사(태양광),신재생에너지발전설비기사(태양광),신재생에너지발전설비기사(태양광),,Q-Net,True,국가기술자격,기사,9,엔지니어링/산업기술,에너지.기상,qnet_major_list_2025,50.3,42.13,46.22
110,임베디드기사,임베디드기사,임베디드기사,,Q-Net,True,국가기술자격,기사,5,엔지니어링/산업기술,전자,qnet_major_list_2025,61.77,37.23,49.5
111,화약류제조기사,화약류제조기사,화약류제조기사,,Q-Net,True,국가기술자격,기사,8,엔지니어링/산업기술,화공,qnet_major_list_2025,42.77,67.37,55.07
112,화약류관리기사,화약류관리기사,화약류관리기사,,Q-Net,True,국가기술자격,기사,39,1차산업/자원,채광,qnet_major_list_2025,38.07,39.8,38.93
113,전기기사,전기기사,전기기사,,Q-Net,True,국가기술자격,기사,5,엔지니어링/산업기술,전기,qnet_major_list_2025,23.5,38.0,30.75
114,전기공사기사,전기공사기사,전기공사기사,,Q-Net,True,국가기술자격,기사,5,엔지니어링/산업기술,전기,qnet_major_list_2025,48.0,59.3,53.65
115,전자기사,전자기사,전자기사,,Q-Net,True,국가기술자격,기사,5,엔지니어링/산업기술,전자,qnet_major_list_2025,13.23,35.27,24.25
116,반도체설계기사,반도체설계기사,반도체설계기사,,Q-Net,True,국가기술자격,기사,5,엔지니어링/산업기술,전자,qnet_major_list_2025,,,
117,의공기사,의공기사,의공기사,,Q-Net,True,국가기술자격,기사,5,엔지니어링/산업기술,전자,qnet_major_list_2025,54.4,27.2,40.8
118,로봇기구개발기사,로봇기구개발기사,로봇기구개발기사,,Q-Net,True,국가기술자격,기사,5,엔지니어링/산업기술,전자,qnet_major_list_2025,43.77,36.67,40.22
119,로봇소프트웨어개발기사,로봇소프트웨어개발기사,로봇소프트웨어개발기사,,Q-Net,True,국가기술자격,기사,5,엔지니어링/산업기술,전자,qnet_major_list_2025,36.8,73.8,55.3
120,로봇하드웨어개발기사,로봇하드웨어개발기사,로봇하드웨어개발기사,,Q-Net,True,국가기술자격,기사,5,엔지니어링/산업기술,전자,qnet_major_list_2025,33.33,26.97,30.15
121,정보통신기사,정보통신기사,정보통신기사,,Q-Net,True,국가기술자격,기사,4,IT/디지털,통신,qnet_major_list_2025,33.62,39.82,36.72
122,방송통신기사,방송통신기사,방송통신기사,,Q-Net,True,국가기술자격,기사,4,IT/디지털,방송.무선,qnet_major_list_2025,41.16,80.96,61.06
123,무선설비기사,무선설비기사,무선설비기사,,Q-Net,True,국가기술자격,기사,4,IT/디지털,방송.무선,qnet_major_list_2025,30.0,70.6,50.3
124,조선기사,조선기사,조선기사,,Q-Net,True,국가기술자격,기사,41,모빌리티/운송,조선,qnet_major_list_2025,,,
125,조선선체기사,조선선체기사,조선선체기사,,Q-Net,True,국가기술자격,기사,41,모빌리티/운송,조선,qnet_major_list_2025,42.45,55.15,48.8
126,조선의장기사,조선의장기사,조선의장기사,,Q-Net,True,국가기술자격,기사,41,모빌리티/운송,조선,qnet_major_list_2025,47.85,12.2,30.02
127,항공기사,항공기사,항공기사,,Q-Net,True,국가기술자격,기사,42,모빌리티/운송,항공,qnet_major_list_2025,20.0,11.33,15.67
128,토목기사,토목기사,토목기사,,Q-Net,True,국가기술자격,기사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,29.6,42.63,36.12
129,실내건축기사,실내건축기사,실내건축기사,,Q-Net,True,국가기술자격,기사,10,엔지니어링/산업기술,건축,qnet_major_list_2025,54.73,52.9,53.82
130,섬유기계기사,섬유기계기사,섬유기계기사,,Q-Net,True,국가기술자격,기사,32,교육/생활서비스,섬유,qnet_major_list_2025,,,
131,염색가공기사,염색가공기사,염색가공기사,,Q-Net,True,국가기술자격,기사,32,교육/생활서비스,섬유,qnet_major_list_2025,,,
132,방사기사,방사기사,방사기사,,Q-Net,True,국가기술자격,기사,32,교육/생활서비스,섬유,qnet_major_list_2025,,,
133,섬유기사,섬유기사,섬유기사,,Q-Net,True,국가기술자격,기사,32,교육/생활서비스,섬유,qnet_major_list_2025,14.3,37.5,25.9
134,의류기사,의류기사,의류기사,,Q-Net,True,국가기술자격,기사,32,교육/생활서비스,섬유,qnet_major_list_2025,44.07,11.2,27.63
135,정보처리기사,정보처리기사,정보처리기사,,Q-Net,True,국가기술자격,기사,2,IT/디지털,정보기술,qnet_major_list_2025,58.63,23.57,41.1
136,원자력기사,원자력기사,원자력기사,,Q-Net,True,국가기술자격,기사,9,엔지니어링/산업기술,에너지.기상,qnet_major_list_2025,33.33,70.07,51.7
137,에너지관리기사,에너지관리기사,에너지관리기사,,Q-Net,True,국가기술자격,기사,9,엔지니어링/산업기술,에너지.기상,qnet_major_list_2025,34.47,31.07,32.77
138,도시계획기사,도시계획기사,도시계획기사,,Q-Net,True,국가기술자격,기사,11,엔지니어링/산업기술,도시.교통,qnet_major_list_2025,61.13,41.9,51.52
139,항로표지기사,항로표지기사,항로표지기사,,Q-Net,True,국가기술자격,기사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,64.77,18.93,41.85
140,조경기사,조경기사,조경기사,,Q-Net,True,국가기술자격,기사,11,엔지니어링/산업기술,조경,qnet_major_list_2025,25.17,40.77,32.97
141,측량및지형공간정보기사,측량및지형공간정보기사,측량및지형공간정보기사,,Q-Net,True,국가기술자격,기사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,36.13,54.3,45.22
142,지적기사,지적기사,지적기사,,Q-Net,True,국가기술자격,기사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,44.77,45.37,45.07
143,인쇄설계기사,인쇄설계기사,인쇄설계기사,,Q-Net,True,국가기술자격,기사,33,크리에이티브/미디어,인쇄.사진,qnet_major_list_2025,59.67,97.93,78.8
144,해양환경기사,해양환경기사,해양환경기사,,Q-Net,True,국가기술자격,기사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,56.87,54.47,55.67
145,해양자원개발기사,해양자원개발기사,해양자원개발기사,,Q-Net,True,국가기술자격,기사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,16.67,51.67,34.17
146,해양공학기사,해양공학기사,해양공학기사,,Q-Net,True,국가기술자격,기사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,0.17,0.12,0.15
147,산업안전기사,산업안전기사,산업안전기사,,Q-Net,True,국가기술자격,기사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,47.2,53.83,50.52
148,건설안전기사,건설안전기사,건설안전기사,,Q-Net,True,국가기술자격,기사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,49.57,62.93,56.25
149,화재감식평가기사,화재감식평가기사,화재감식평가기사,,Q-Net,True,국가기술자격,기사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,78.33,42.53,60.43
150,농작업안전보건기사,농작업안전보건기사,농작업안전보건기사,,Q-Net,True,국가기술자격,기사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,68.2,44.3,56.25
151,방재기사,방재기사,방재기사,,Q-Net,True,국가기술자격,기사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,49.1,48.03,48.57
152,광산보안기사,광산보안기사,광산보안기사,,Q-Net,True,국가기술자격,기사,39,1차산업/자원,채광,qnet_major_list_2025,42.17,43.1,42.63
153,지하수기사,지하수기사,지하수기사,,Q-Net,True,국가기술자격,기사,39,1차산업/자원,채광,qnet_major_list_2025,,,
