statisYy,jmCd,jmNm,grdCd,grdNm,mdobligFldCd,mdobligFldNm,mjrYnCcd,accumAcquCnt,yy1AcquCnt,yy2AcquCnt,yy3AcquCnt,yy4AcquCnt,yy5AcquCnt,yy6AcquCnt
2025,1720,계량기사,30,기사,161,기계제작,N,39,39,0,0,0,0,0
2025,1730,공조냉동기계기사,30,기사,162,기계장비설비.설치,N,24907,15779,1816,1503,1909,1907,1993
2025,1740,철도신호기사,30,기사,201,전기,N,1897,1466,74,63,104,83,107
2025,1741,전기철도기사,30,기사,201,전기,N,2989,2609,63,68,73,83,93
2025,1750,건설재료시험기사,30,기사,142,토목,N,29707,24978,853,804,1020,855,1197
2025,1751,교통기사,30,기사,144,도시.교통,N,8042,5941,397,335,562,313,494
2025,1760,철도토목기사,30,기사,142,토목,N,1090,766,41,80,100,18,85
2025,1780,시설원예기사,30,기사,241,농업,N,290,135,6,9,28,33,79
2025,1790,시각디자인기사,30,기사,82,디자인,N,2227,1641,157,144,108,92,85
2025,1800,바이오화학제품제조기사,30,기사,181,화공,N,2663,1010,236,301,339,333,444
2025,1837,설비보전기사,30,기사,162,기계장비설비.설치,N,20284,7616,977,1682,3261,5480,1268
2025,1875,인간공학기사,30,기사,251,안전관리,N,10331,1915,533,873,2314,3032,1664
2025,1875,인간공학기사,30,기사,251,안전관리,Y,2381,408,165,286,523,642,357
2025,1900,소방설비기사(기계분야),30,기사,251,안전관리,N,80466,56705,5697,2321,5374,4441,5928
2025,1900,소방설비기사(기계분야),30,기사,251,안전관리,Y,537,216,57,25,84,53,102
2025,1910,소방설비기사(전기분야),30,기사,251,안전관리,N,145807,104265,6599,8938,8544,9985,7476
2025,1910,소방설비기사(전기분야),30,기사,251,안전관리,Y,1185,523,89,138,136,150,149
2025,1929,생물분류기사,30,기사,261,환경,N,7,7,0,0,0,0,0
2025,1938,자연생태복원기사,30,기사,261,환경,N,6433,4435,473,403,341,367,414
2025,1948,토양환경기사,30,기사,261,환경,N,7269,5833,374,312,308,320,122
2025,1950,폐기물처리기사,30,기사,261,환경,N,15195,10885,910,1027,794,980,599
2025,1982,컬러리스트기사,30,기사,82,디자인,N,22855,19712,864,604,521,542,612
2025,1988,생물분류기사(식물),30,기사,261,환경,N,1321,554,109,158,169,179,152
2025,1989,생물분류기사(동물),30,기사,261,환경,N,1601,445,166,212,221,261,296
2025,1641,버섯산업기사,31,산업기사,243,임업,N,420,111,90,50,65,59,45
2025,2011,기계조립산업기사,31,산업기사,161,기계제작,N,11954,11829,46,12,24,27,16
2025,2012,판금제관산업기사,31,산업기사,172,판금.제관.새시,N,1378,1366,1,1,7,2,1
2025,2025,컴퓨터응용가공산업기사,31,산업기사,161,기계제작,N,53339,51034,425,556,550,369,405
2025,2026,용접산업기사,31,산업기사,174,용접,N,30516,27818,571,555,505,564,503
2025,2027,농업기계산업기사,31,산업기사,162,기계장비설비.설치,N,2056,1630,59,93,111,95,68
