jobdicSeq,직업명,학과명,자격증명,자격증ID,jobID
995,에너지공학기술자,"에너지자원공학과, 원자력공학과",방사선취급감독자면허,S119,877
995,에너지공학기술자,"에너지자원공학과, 원자력공학과",핵연료물질취급감독자면허,S252,878
997,토양환경기술자,"지질학과, 환경공학과, 환경과학과, 환경보건학과",토양환경기술사,T105,879
997,토양환경기술자,"지질학과, 환경공학과, 환경과학과, 환경보건학과",자연환경관리기술사,T596,880
997,토양환경기술자,"지질학과, 환경공학과, 환경과학과, 환경보건학과",자연생태복원산업기사,T595,881
1004,환경설비기술자,"보건환경과, 환경공학과, 환경과학과, 환경시스템과",수질환경산업기사,T461,882
1004,환경설비기술자,"보건환경과, 환경공학과, 환경과학과, 환경시스템과",수질환경기사,T460,883
1004,환경설비기술자,"보건환경과, 환경공학과, 환경과학과, 환경시스템과",폐기물처리산업기사,T119,884
1004,환경설비기술자,"보건환경과, 환경공학과, 환경과학과, 환경시스템과",폐기물처리기사,T117,885
1004,환경설비기술자,"보건환경과, 환경공학과, 환경과학과, 환경시스템과",폐기물처리기술사,T118,886
1004,환경설비기술자,"보건환경과, 환경공학과, 환경과학과, 환경시스템과",토양환경기술사,T105,887
1006,해양환경기사,"해양공학과, 해양자원학과",해양환경기사,T166,888
1006,해양환경기사,"해양공학과, 해양자원학과",해양자원개발기사,T163,889
1006,해양환경기사,"해양공학과, 해양자원학과",해양공학기사,T160,890
1006,해양환경기사,"해양공학과, 해양자원학과",해양조사산업기사,T165,891
1006,해양환경기사,"해양공학과, 해양자원학과",수질환경산업기사,T461,892
1006,해양환경기사,"해양공학과, 해양자원학과",수질환경기사,T460,893
1007,상수도기술자,"토목공학과, 토목공학과, 환경공학과, 환경과학과, 환경보건학과",상하수도기술사,T416,894
1007,상수도기술자,"토목공학과, 토목공학과, 환경공학과, 환경과학과, 환경보건학과",수질환경산업기사,T461,895
1007,상수도기술자,"토목공학과, 토목공학과, 환경공학과, 환경과학과, 환경보건학과",수질환경기사,T460,896
1007,상수도기술자,"토목공학과, 토목공학과, 환경공학과, 환경과학과, 환경보건학과",수질관리기술사,T457,897
1009,환경위생검사원,"보건환경과, 환경공학과, 환경과학과, 환경보건학과, 환경시스템과",위생사,S188,898
1009,환경위생검사원,"보건환경과, 환경공학과, 환경과학과, 환경보건학과, 환경시스템과",대기환경산업기사,T317,899
1009,환경위생검사원,"보건환경과, 환경공학과, 환경과학과, 환경보건학과, 환경시스템과",대기환경기사,T316,900
1009,환경위생검사원,"보건환경과, 환경공학과, 환경과학과, 환경보건학과, 환경시스템과",대기관리기술사,T313,901
1009,환경위생검사원,"보건환경과, 환경공학과, 환경과학과, 환경보건학과, 환경시스템과",산업위생관리산업기사,T415,902
