statisYy,sido,genderNm,grdCd,grdNm,accumAcquCnt,yy1AcquCnt,yy2AcquCnt,yy3AcquCnt,yy4AcquCnt,yy5AcquCnt,yy6AcquCnt
2025,행정구역미상,남자,40,기능사,3244057,2052410,257791,230104,236488,232308,234956
2025,행정구역미상,여자,40,기능사,1482970,871192,136486,127727,123986,115242,108337
2025,강원,남자,41,기능사보,15838,15838,0,0,0,0,0
2025,강원,여자,41,기능사보,495,495,0,0,0,0,0
2025,경기,남자,41,기능사보,68560,68560,0,0,0,0,0
2025,경기,여자,41,기능사보,4808,4808,0,0,0,0,0
2025,경남,남자,41,기능사보,22986,22986,0,0,0,0,0
2025,경남,여자,41,기능사보,1387,1387,0,0,0,0,0
2025,경북,남자,41,기능사보,23800,23800,0,0,0,0,0
2025,경북,여자,41,기능사보,1388,1388,0,0,0,0,0
2025,광주,남자,41,기능사보,9632,9632,0,0,0,0,0
2025,광주,여자,41,기능사보,805,805,0,0,0,0,0
2025,대구,남자,41,기능사보,16732,16732,0,0,0,0,0
2025,대구,여자,41,기능사보,1082,1082,0,0,0,0,0
2025,대전,남자,41,기능사보,11268,11268,0,0,0,0,0
2025,대전,여자,41,기능사보,804,804,0,0,0,0,0
2025,부산,남자,41,기능사보,22504,22504,0,0,0,0,0
2025,부산,여자,41,기능사보,1594,1594,0,0,0,0,0
2025,서울,남자,41,기능사보,51411,51411,0,0,0,0,0
2025,서울,여자,41,기능사보,5578,5578,0,0,0,0,0
2025,울산,남자,41,기능사보,8078,8078,0,0,0,0,0
2025,울산,여자,41,기능사보,560,560,0,0,0,0,0
2025,인천,남자,41,기능사보,19140,19140,0,0,0,0,0
2025,인천,여자,41,기능사보,946,946,0,0,0,0,0
2025,전남,남자,41,기능사보,15783,15783,0,0,0,0,0
2025,전남,여자,41,기능사보,1255,1255,0,0,0,0,0
2025,전북,남자,41,기능사보,12358,12358,0,0,0,0,0
2025,전북,여자,41,기능사보,655,655,0,0,0,0,0
2025,제주,남자,41,기능사보,3226,3226,0,0,0,0,0
2025,제주,여자,41,기능사보,182,182,0,0,0,0,0
2025,제주특별자치도,남자,41,기능사보,8,8,0,0,0,0,0
2025,충남,남자,41,기능사보,16708,16708,0,0,0,0,0
2025,충남,여자,41,기능사보,1079,1079,0,0,0,0,0
2025,충북,남자,41,기능사보,11698,11698,0,0,0,0,0
2025,충북,여자,41,기능사보,622,622,0,0,0,0,0
2025,행정구역미상,남자,41,기능사보,41418,41418,0,0,0,0,0
2025,행정구역미상,여자,41,기능사보,4822,4822,0,0,0,0,0
