major_code,major_name,domain_sub_code_raw,domain_sub_name_raw,domain_main_code_raw,domain_main_name_raw,major_id,domain_label_candidate,source
1265,관광외식학부,131,조리,13,음식서비스,major_qnet_1265,조리,qnet_udept_oblig_list
1266,관광조경(과·학과),143,조경,14,건설,major_qnet_1266,조경,qnet_udept_oblig_list
1267,관광조리과,131,조리,13,음식서비스,major_qnet_1267,조리,qnet_udept_oblig_list
1268,관광조리음료과,131,조리,13,음식서비스,major_qnet_1268,조리,qnet_udept_oblig_list
1269,관광컴퓨터정보계열,202,전자,20,전기·전자,major_qnet_1269,전자,qnet_udept_oblig_list
1270,관광호텔외식경영(학부·전공),024,생산관리,2,경영·회계·사무,major_qnet_1270,생산관리,qnet_udept_oblig_list
1271,관광호텔외식전공,131,조리,13,음식서비스,major_qnet_1271,조리,qnet_udept_oblig_list
1272,관광호텔조리(계열·과·전공),131,조리,13,음식서비스,major_qnet_1272,조리,qnet_udept_oblig_list
1273,관상원예(과·학과·학전공),143,조경,14,건설,major_qnet_1273,조경,qnet_udept_oblig_list
1274,광(공과·학과),202,전자,20,전기·전자,major_qnet_1274,전자,qnet_udept_oblig_list
1275,광고·멀티미디어디자인전공,082,디자인,8,문화·예술·디자인·방송,major_qnet_1275,디자인,qnet_udept_oblig_list
1276,광고·캐릭터디자인과,082,디자인,8,문화·예술·디자인·방송,major_qnet_1276,디자인,qnet_udept_oblig_list
