section,category,pct_isolated,pct_general,n_iso,n_gen,chi2,p_value,cohen_h,diff_pct,significant
【A2_1_1】 미취업 이유▶일할 욕구를 느끼지 못해서,아니오 (해당하지 않음),49.315,72.679,486,5027,116.0326,0.0,0.4845,-23.364,True
【A2_1_1】 미취업 이유▶일할 욕구를 느끼지 못해서,예 (해당함),50.685,27.321,486,5027,116.0326,0.0,0.4845,23.364,True
【B1_5】 평소 생활 패턴▶나는 잠을 설치는 것 없이 잘 자는 편이다,전혀그렇지않다,19.342,4.595,486,5027,173.7083,0.0,0.4787,14.747,True
【C3】 고립/은둔 벗어나기 위한 시도 실패 이유,별로 효과가 없었다,27.206,9.326,486,5027,145.0593,0.0,0.4768,17.88,True
【C8_4_1 TO C8_4_8】 서울시 고립·은둔청년 지원 사업 도움이 되지 않은 이유,나의 상황과 잘 맞지 않아서,30.0,11.364,486,5027,136.7113,0.0,0.4716,18.636,True
【B9_4】 자기관리 및 청결 ▶내 방의 어질러진 물건들을 정리 정돈한다,한 달에한 번,18.313,4.217,486,5027,170.5788,0.0,0.4708,14.096,True
【B10】 주관적 건강상태,매우 나쁘다,10.7,0.995,486,5027,229.8491,0.0,0.4667,9.705,True
【A6】 본인의 주관적 경제 수준,약간 여유있음,1.786,12.899,486,5027,51.4414,0.0,0.4666,-11.113,True
【B9_1】 자기관리 및 청결 ▶옷을 갈아입는다,2~3일에한 번,37.86,17.386,486,5027,119.7854,0.0,0.4653,20.474,True
【B12_8】 우울 척도▶신문을 읽거나 TV를 보는 것과 같은 일상적인 일에도 집중할 수가 없었다.,없음,43.004,65.924,486,5027,100.9236,0.0,0.4645,-22.92,True
【C1】 고립/은둔 벗어나고 싶다고 느낀 경험,아니다,44.293,67.134,486,5027,102.3019,0.0,0.4642,-22.841,True
【C1】 고립/은둔 벗어나고 싶다고 느낀 경험,그렇다,55.707,32.866,486,5027,102.3019,0.0,0.4642,22.841,True
【A9】 과거 은둔 생활 여부,없음,24.691,46.608,486,5027,86.125,0.0,0.4629,-21.917,True
