var,axis,label,section,category,pct_iso,pct_gen,diff,h,n_iso,n_gen
A18_2,축1_관계형성,외로움-도움요청불가,【A18_2】 외로움 척도▶나는 도움을 청할 사람이 아무도 없다,Bottom2(①+②),32.1,68.1,-36.0,0.736,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_3】 외로움 척도▶나는 혼자 남겨진 것 같다고 느껴진다,전혀그렇지않다,12.3,26.3,-14.0,0.36,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_3】 외로움 척도▶나는 혼자 남겨진 것 같다고 느껴진다,별로그렇지않다,17.9,35.3,-17.4,0.399,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_3】 외로움 척도▶나는 혼자 남겨진 것 같다고 느껴진다,가끔그런편이다,40.5,31.6,8.9,0.186,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_3】 외로움 척도▶나는 혼자 남겨진 것 같다고 느껴진다,항상그렇다,29.2,6.7,22.5,0.618,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_3】 외로움 척도▶나는 혼자 남겨진 것 같다고 느껴진다,Top2(③+④),69.8,38.3,31.4,0.642,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_3】 외로움 척도▶나는 혼자 남겨진 것 같다고 느껴진다,Bottom2(①+②),30.2,61.7,-31.4,0.642,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_4】 외로움 척도▶나는 사람들 사이에서 고립되어 있다고 느껴진다,전혀그렇지않다,12.3,27.6,-15.3,0.389,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_4】 외로움 척도▶나는 사람들 사이에서 고립되어 있다고 느껴진다,별로그렇지않다,16.9,35.6,-18.7,0.432,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_4】 외로움 척도▶나는 사람들 사이에서 고립되어 있다고 느껴진다,가끔그런편이다,39.9,31.0,8.9,0.187,486,5027
